PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1641706,Brandon Miller,1610612766,CHA,23.0,38,23,15,0.605,1157.8033333333333,270,636,0.425,113,309,0.366,131,147,0.891,41,139,180,125,104,40,34,105,784,155
1630314,Brandon Williams,1610612742,DAL,26.0,46,17,29,0.37,1011.6933333333334,207,444,0.466,25,113,0.221,143,183,0.781,24,109,133,169,89,48,9,74,582,-6
1641729,Brice Sensabaugh,1610612762,UTA,22.0,53,16,37,0.302,1161.6883333333333,231,513,0.45,96,278,0.345,107,126,0.849,38,118,156,81,65,36,5,99,665,-215
1642355,Bronny James,1610612747,LAL,21.0,29,14,15,0.483,210.65833333333333,24,60,0.4,11,27,0.407,4,5,0.8,4,11,15,35,14,11,2,16,63,-7
201572,Brook Lopez,1610612746,LAC,37.0,47,25,22,0.532,873.8466666666667,111,288,0.385,69,198,0.348,29,34,0.853,16,108,124,46,38,25,50,81,320,-4
1642964,Brooks Barnhizer,1610612760,OKC,23.0,29,21,8,0.724,221.40166666666667,18,46,0.391,5,16,0.313,4,6,0.667,10,42,52,16,7,5,3,20,45,-67
1628971,Bruce Brown,1610612743,DEN,29.0,55,35,20,0.636,1371.325,159,344,0.462,31,88,0.352,64,83,0.771,65,156,221,116,56,58,15,135,413,-67
1631121,Bryce McGowens,1610612740,NOP,23.0,32,8,24,0.25,635.8,82,171,0.48,29,64,0.453,59,77,0.766,10,52,62,48,15,19,4,63,252,-61
1642267,Bub Carrington,1610612764,WAS,20.0,53,14,39,0.264,1483.06,187,465,0.402,110,280,0.393,54,71,0.761,23,164,187,242,127,33,11,117,538,-459
1631205,Buddy Boeheim,1610612760,OKC,26.0,2,1,1,0.5,12.416666666666666,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0,0,0,0,0,0,6,3
1627741,Buddy Hield,1610612737,ATL,33.0,45,21,24,0.467,772.6716666666666,130,301,0.432,67,196,0.342,27,34,0.794,26,82,108,66,43,37,9,56,354,-92
203468,CJ McCollum,1610612737,ATL,34.0,51,17,34,0.333,1536.9,354,778,0.455,132,346,0.382,117,151,0.775,35,139,174,182,87,38,19,99,957,-156
1630595,Cade Cunningham,1610612765,DET,24.0,47,35,12,0.745,1639.9216666666666,416,901,0.462,90,273,0.33,269,333,0.808,45,220,265,452,173,69,39,149,1191,378
1631216,Caleb Houstan,1610612737,ATL,23.0,10,5,5,0.5,49.31666666666667,7,15,0.467,6,12,0.5,3,3,1.0,4,1,5,2,4,1,1,6,23,-5
1631126,Caleb Love,1610612757,POR,24.0,45,21,24,0.467,999.2583333333333,189,485,0.39,93,290,0.321,36,49,0.735,25,89,114,122,61,27,4,47,507,-118
1628997,Caleb Martin,1610612742,DAL,30.0,46,16,30,0.348,644.2966666666666,61,137,0.445,14,38,0.368,22,35,0.629,23,90,113,72,31,31,11,66,158,-76
1642353,Cam Christie,1610612746,LAC,20.0,38,17,21,0.447,379.15,43,108,0.398,12,42,0.286,32,42,0.762,12,48,60,22,16,10,3,17,130,10
1642285,Cam Spencer,1610612763,MEM,25.0,51,19,32,0.373,1229.4533333333334,194,407,0.477,110,246,0.447,94,101,0.931,25,111,136,287,76,36,5,74,592,-4
1630560,Cam Thomas,1610612749,MIL,24.0,27,7,20,0.259,640.2966666666666,141,346,0.408,43,130,0.331,100,117,0.855,9,40,49,79,53,4,2,32,425,-113
1641715,Cam Whitmore,1610612764,WAS,21.0,21,3,18,0.143,353.98333333333335,77,169,0.456,16,56,0.286,23,31,0.742,19,39,58,15,18,15,8,25,193,-152
1629661,Cameron Johnson,1610612743,DEN,29.0,31,22,9,0.71,942.4716666666667,125,266,0.47,59,135,0.437,47,58,0.81,21,91,112,69,28,21,8,73,356,204
1627747,Caris LeVert,1610612765,DET,31.0,36,27,9,0.75,706.4666666666667,101,234,0.432,39,114,0.342,38,56,0.679,12,53,65,102,46,33,23,57,279,38
1642868,Carter Bryant,1610612759,SAS,20.0,43,32,11,0.744,398.05833333333334,53,143,0.371,25,78,0.321,15,22,0.682,19,66,85,14,13,9,9,39,146,-23
1641717,Cason Wallace,1610612760,OKC,22.0,53,39,14,0.736,1418.5933333333332,163,384,0.424,71,204,0.348,31,42,0.738,44,118,162,119,48,108,15,103,428,388
1642907,Cedric Coward,1610612763,MEM,22.0,48,18,30,0.375,1263.4466666666667,233,498,0.468,71,209,0.34,102,121,0.843,65,234,299,140,84,27,19,94,639,40
1629646,Charles Bassey,1610612755,PHI,25.0,3,0,3,0.0,35.15,4,9,0.444,0,0,0.0,1,3,0.333,7,8,15,2,1,1,2,5,9,-15
1642404,Chaz Lanier,1610612765,DET,24.0,20,18,2,0.9,170.67666666666668,21,57,0.368,15,45,0.333,5,5,1.0,7,12,19,13,2,5,0,7,62,20
1631096,Chet Holmgren,1610612760,OKC,23.0,49,37,12,0.755,1429.5566666666666,318,568,0.56,61,175,0.349,158,201,0.786,92,333,425,80,75,25,95,120,855,430
1628449,Chris Boucher,1610612738,BOS,33.0,9,4,5,0.444,94.15,8,25,0.32,2,15,0.133,3,4,0.75,2,16,18,3,1,5,7,17,21,5
1641753,Chris Livingston,1610612739,CLE,22.0,3,2,1,0.667,17.426666666666666,4,7,0.571,0,3,0.0,1,1,1.0,0,3,3,1,0,1,0,4,9,8
1643024,Chris Mañon,1610612747,LAL,24.0,5,1,4,0.2,21.385,0,1,0.0,0,1,0.0,2,2,1.0,1,3,4,1,1,3,2,3,2,7
101108,Chris Paul,1610612761,TOR,40.0,16,4,12,0.25,227.535,18,56,0.321,10,30,0.333,1,2,0.5,6,22,28,53,16,11,0,23,47,-84
1642959,Chris Youngblood,1610612760,OKC,24.0,32,27,5,0.844,174.20833333333334,20,60,0.333,16,51,0.314,9,10,0.9,7,21,28,11,2,4,3,20,65,6
1631128,Christian Braun,1610612743,DEN,24.0,19,12,7,0.632,575.7433333333333,72,150,0.48,11,44,0.25,34,44,0.773,29,53,82,53,22,10,7,43,189,123
1631132,Christian Koloko,1610612737,ATL,25.0,20,10,10,0.5,306.3183333333333,26,60,0.433,1,5,0.2,3,6,0.5,26,40,66,14,12,12,20,42,56,13
1642935,Chucky Hepburn,1610612761,TOR,23.0,2,0,2,0.0,13.233333333333333,0,6,0.0,0,5,0.0,0,0,0.0,0,1,1,2,1,1,0,2,0,-16
203991,Clint Capela,1610612745,HOU,31.0,47,29,18,0.617,555.9666666666667,76,144,0.528,0,0,0.0,21,38,0.553,101,112,213,26,19,24,37,40,173,51
1629632,Coby White,1610612766,CHA,25.0,29,14,15,0.483,843.4266666666666,172,393,0.438,72,208,0.346,124,154,0.805,7,101,108,136,88,20,2,71,540,-2
1628998,Cody Martin,1610612754,IND,30.0,4,0,4,0.0,55.18,2,10,0.2,0,5,0.0,3,6,0.5,1,13,14,2,4,4,2,5,7,-28
1642262,Cody Williams,1610612762,UTA,21.0,42,12,30,0.286,820.6883333333334,106,220,0.482,16,69,0.232,20,32,0.625,36,61,97,39,26,27,18,76,248,-177
1641732,Colby Jones,1610612765,DET,23.0,1,0,1,0.0,6.816666666666666,1,3,0.333,0,2,0.0,0,0,0.0,0,4,4,2,0,0,0,1,2,12
1630175,Cole Anthony,1610612756,PHX,25.0,35,12,23,0.343,526.635,98,231,0.424,22,72,0.306,16,26,0.615,16,71,87,121,65,20,11,73,234,-111
1631221,Collin Gillespie,1610612756,PHX,26.0,54,31,23,0.574,1527.4733333333334,250,576,0.434,163,385,0.423,55,65,0.846,53,172,225,253,89,75,12,83,718,154
1642867,Collin Murray-Boyles,1610612761,TOR,20.0,43,23,20,0.535,952.58,142,257,0.553,16,46,0.348,39,61,0.639,104,110,214,89,50,39,38,110,339,-9
1629012,Collin Sexton,1610612741,CHI,27.0,45,20,25,0.444,1029.9766666666667,221,459,0.481,60,158,0.38,147,168,0.875,23,68,91,163,99,39,7,87,649,-39
